date,torque_value,p_f,asset_tag,brand,nominal_torque,location,nominal
,,,SB-M-L7-010,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,SB-M-L7-013,Kilews,1.5Nm (±5%),ServerLine7,1.5
,,,SB-M-L7-014,Kilews,1.5Nm (±5%),ServerLine7,1.5
,,,SB-M-L7-015,Kilews,1.35Nm (±5%),ServerLine7,1.35
,,,SB-M-L7-016,ORANGEKILEWS,1.35Nm (±5%),ServerLine7,1.35
,,,SB-M-L7-017,ORANGEKILEWS,1.35Nm (±5%),ServerLine7,1.35
,,,SB-M-L7-018,Kilews,1.35Nm (±5%),ServerLine7,1.35
,,,SB-M-L7-019,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,SB-M-L7-020,Kilews,1.0Nm (±5%),ServerLine7,1
,,,SB-M-L7-021,Kilews,1.0Nm (±5%),ServerLine7,1
,,,SB-M-L7-022,Kilews,0.3Nm (±5%),ServerLine7,0.3
,,,SB-M-L7-023,Kilews,0.3Nm (±5%),ServerLine7,0.3
,,,SB-M-L7-024,ORANGEKILEWS,1.95Nm (±5%),ServerLine7,1.95
,,,SB-M-L7-025,Kilews,0.3Nm (±5%),ServerLine7,0.3
,,,SB-M-L7-026,Kilews,0.3Nm (±5%),ServerLine7,0.3
,,,SB-M-L7-030,ORANGEKILEWS,0.6Nm (±5%),ServerLine7,0.6
,,,SB-M-L7-031,Kilews,1.6Nm (±5%),ServerLine7,1.6
,,,SB-M-L7-012,ORANGEKILEWS,0.9Nm (±5%),ServerLine7,0.9
,,,PRO-2438,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-0044,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-1102,Kilews,1.95Nm (±5%),ServerLine7,1.95
,,,PRO-1108,Kilews,1.6Nm (±5%),ServerLine7,1.6
,,,PRO-2166,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-2453,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-2780,Hitachi,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-2994,Hitachi,1.6Nm (±5%),ServerLine7,1.6
,,,PRO-2996,Hitachi,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-2997,Hitachi,0.3Nm (±5%),ServerLine7,0.3
,,,PRO-4000,Hitachi,1.6Nm (±5%),ServerLine7,1.6
,,,PRO-4102,Hitachi,1.6Nm (±5%),ServerLine7,1.6
,,,PRO-4140,Hitachi,0.6Nm (±5%),ServerLine7,0.6
,,,PRO-4258,Kilews,1.95Nm (±5%),ServerLine7,1.95
,,,PRO-4282,Hitachi,0.6Nm (±5%),ServerLine7,0.6
,,,QCD-0008,Hitachi,0.3Nm (±5%),ServerLine7,0.3
,,,SB-M-L7-004,Kilews,0.6Nm (±5%),ServerLine7,0.6
,,,SB-M-L7-036,Kilews,1.6Nm (±5%),ServerLine7,1.6
,,,PRO-4242,Kilews,1.95Nm (±5%),ServerLine8,1.95
,,,SB-M-TA-001,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-002,Kilews,1.4Nm (±5%),ServerTrainingArea,1.4
,,,SB-M-TA-003,Kilews,1.95Nm (±5%),ServerTrainingArea,1.95
,,,SB-M-TA-004,Kilews,0.3Nm (±5%),ServerTrainingArea,0.3
,,,SB-M-TA-006,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-007,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-009,Kilews,1.35Nm (±5%),ServerTrainingArea,1.35
,,,SB-M-TA-010,Kilews,1.35Nm (±5%),ServerTrainingArea,1.35
,,,SB-M-TA-012,Panasonic,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-013,Panasonic,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-014,Panasonic,specialrequest,ServerTrainingArea,spe
,,,SB-M-TA-015,Panasonic,0.6Nm (±5%),ServerTrainingArea,0.6
,,,SB-M-TA-016,Kilews,1.95Nm (±5%),ServerTrainingArea,1.95
,,,SB-M-TA-017,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
,,,PRO-4485,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
6/16/2021," 0.616 Nm   
",pass,1234,Kilews,0.6Nm (±5%),ServerTrainingArea,0.6
